Text,Lebel
জামায়াত সবসময় ধর্মকে ঢাল হিসেবে ব্যবহার করে,Hate
ওদের কথায় কোনোদিনই বিশ্বাস করা যায় না,Hate
ধর্মের নামে মানুষকে ধোঁকা দেওয়াই ওদের কাজ,Hate
নির্বাচনের সময় নাটক করা ছাড়া ওদের কিছু আসে না,Hate
ওদের তসবিহ দেখানো সবই লোক দেখানো,Hate
ওরা শুধু ভোটের সময় ধর্মের কথা মনে আনে,Hate
এ দল দেশের জন্য বিপদ ছাড়া কিছু নয়,Hate
ওদের নেতারা সবসময় মিথ্যে বলে,Hate
ওরা দেশের ক্ষতি ছাড়া কিছুই করে না,Hate
ধর্মকে নিয়ে রাজনীতি করাই ওদের লক্ষ্য,Hate
বিএনপি আর জামায়াত দুজনেই দেশ ধ্বংস করেছে,Hate
ওরা সবসময় অন্যদের দোষ দেয়,Hate
ওদের কথায় মানুষকে ভুল পথে নেয়,Hate
ওরা সবসময় নাটক করে দেশবাসীকে বোকা বানায়,Hate
ওদের রাজনীতি শুধু নিজের স্বার্থে,Hate
জাতীয় সরকার করার নামে বিভ্রান্তি ছড়ায়,Hate
ওদের নেতারা দেশের জন্য কখনো কাজ করেনি,Hate
ধর্মের নামে ওদের ভণ্ডামি মানুষ বুঝে গেছে,Hate
ওদের কথাবার্তা পুরোই রাজনীতির চালাকি,Hate
দেশের ভবিষ্যৎ ওদের হাতে নিরাপদ নয়,Hate
ওদের মতো সুযোগসন্ধানী দল আর নেই,Hate
ওরা ক্ষমতা পেলেই দেশকে পিছিয়ে দেবে,Hate
ওদের প্রতিশ্রুতি সবই ফাঁকা কথা,Hate
ওদের রাজনীতি মানুষকে বিভক্ত করে,Hate
ওরা সবসময় আবেগ নিয়ে খেলা করে,Hate
জাতীয় সরকারের নামে নাটক করছে,Hate
ওদের কোনো পরিকল্পনা বাস্তবসম্মত নয়,Hate
ওদের কথায় কোনো সত্যতা নেই,Hate
ধর্মকে ব্যবহার না করার দাবি সম্পূর্ণ মিথ্যে,Hate
ওদের ভণ্ডামি দেখে মানুষ বিরক্ত,Hate
ওরা সবসময় অভিযোগ করে কিন্তু সমাধান দেয় না,Hate
ওদের রাজনৈতিক অবস্থান অসৎ উদ্দেশ্যে ভরা,Hate
ওরা জনগণের কথা শুধু মুখে বলে,Hate
ওদের আচরণে কোনো দায়িত্বশীলতা নেই,Hate
ওদের কথাবার্তা মানুষকে উসকে দেয়,Hate
ওরা সবসময় ক্ষমতার লোভে অন্ধ,Hate
ওদের নেতৃত্ব দুর্বল এবং ভণ্ড,Hate
ওরা নির্বাচনে এলেই উত্তেজনা বাড়ে,Hate
ওরা রাষ্ট্রকে বিভক্ত করার চেষ্টা করে,Hate
ওদের কোনো বক্তব্যেই আন্তরিকতা নেই,Hate
ওদের দাবি হাস্যকর,Hate
ওরা রাজনৈতিক সুবিধার জন্য ধর্মকে ঘুরিয়ে কথা বলে,Hate
ওরা শুধু বিদেশিদের সামনে ভদ্র সাজে,Hate
দেশের ক্ষতি করাই যেন ওদের লক্ষ্য,Hate
ওরা জনগণের দুঃখ কষ্ট বোঝে না,Hate
ওদের রাজনীতি মানুষকে ক্লান্ত করে দিয়েছে,Hate
ওরা সব ইস্যুকে ধর্মে টেনে আনে,Hate
ওদের কথায় দেশের ভাবমূর্তি নষ্ট হয়,Hate
ওরা সবসময় উত্তেজনা সৃষ্টি করে,Hate
ওদের বক্তব্যে দেশের বিরুদ্ধে বিদ্বেষ ছড়ায়,Hate
ওরা বিদেশিদের দেখিয়ে নিজেদের ভালো প্রমাণ করতে চায়,Hate
ওরা দলে ভিন্নমত মানে না,Hate
ওদের নেতৃত্ব স্বভাবগতভাবেই অযোগ্য,Hate
ওরা সব সময় অন্যদের উপর দোষ চাপায়,Hate
ওরা নিজেদের ভুল কখনো স্বীকার করে না,Hate
ওদের রাজনীতি তরুণদের বিপথে নেয়,Hate
ওদের দাবি শুধু মুখের কথা,Hate
ওরা বড় বড় কথা বলে কিন্তু কাজ করে না,Hate
ওরা সবসময় ষড়যন্ত্রের মধ্যে থাকে,Hate
দেশের সংকটেও ওরা রাজনীতি খোঁজে,Hate
ওরা জনগণের ভোটের যোগ্য নয়,Hate
ওরা ক্ষমতায় গেলে দেশ পিছিয়ে যাবে,Hate
ওদের প্রতিটি কথা সন্দেহজনক,Hate
ওরা বিদেশিদের ভুল তথ্য দেয়,Hate
ওদের রাজনীতি দেশের ওপর বোঝা,Hate
ওদের দলের ভাবমূর্তি ভয়ংকর,Hate
ওদের দৃষ্টিভঙ্গি বিপজ্জনক,Hate
ওরা দেশের স্বার্থ নয় নিজের স্বার্থ দেখে,Hate
ওরা বিশেষ করে নির্বাচনের আগে নাটক করে,Hate
ওদের বক্তব্যে উসকানি লুকানো থাকে,Hate
ওরা সবসময় জনগণকে চাপের মধ্যে রাখে,Hate
ওরা রাজনীতিতে সততার অভাব দেখায়,Hate
ওদের অবস্থান দেশকে অস্থিতিশীল করে,Hate
ওরা শান্তিকে হুমকির মুখে ঠেলে দেয়,Hate
ওদের কার্যক্রম বিতর্কিত,Hate
ওরা কারো মতামত সম্মান করে না,Hate
ওরা জাতীয় সরকারের নামে ক্ষমতা দখল করতে চায়,Hate
ওরা যেকোনো অজুহাতে নির্বাচনকে প্রভাবিত করতে চায়,Hate
ওদের বক্তব্যে বিভ্রান্তি ছড়ানোর চেষ্টা থাকে,Hate
ওরা সহজ প্রশ্নেও গোলমাল করে,Hate
ওরা কখনোই দেশবাসীর আস্থা পাবে না,Hate
ওরা দেশের প্রয়োজন বোঝে না,Hate
ওরা লোক দেখানো ধর্মীয় আচরণ করে,Hate
ওদের প্রতিশ্রুতি মানুষকে বিভ্রান্ত করে,Hate
ওরা জনগণের রায় মানতে চায় না,Hate
ওরা গণতন্ত্রকে ক্ষতিগ্রস্ত করে,Hate
ওরা নিজেরা দুর্নীতি করে আবার অন্যদের কথা বলে,Hate
ওরা ক্ষমতা ছাড়া কিছু বোঝে না,Hate
ওরা সবসময় উত্তেজনামূলক মন্তব্য করে,Hate
ওদের বক্তব্যে মানুষের মধ্যে ঘৃণা বাড়ে,Hate
ওরা দলীয় স্বার্থে দেশের স্বার্থকে ভুলে যায়,Hate
ওরা সংকট বাড়িয়ে নিজেদের লাভ খোঁজে,Hate
ওরা সুযোগ পেলেই দেশকে বিপদে ফেলবে,Hate
ওদের উদ্দেশ্য কখনোই দেশের ভালো নয়,Hate
ওরা মানুষকে বিভক্ত করতে চায়,Hate
ওরা নির্বাচন নিয়ে ভয় দেখায়,Hate
ওদের কথায় শুধু বিদ্বেষ,Hate
ওরা কখনোই স্বচ্ছ রাজনীতি করে না,Hate
এলডিপির নেতা বদলানো রাজনৈতিক স্বার্থ ছাড়া কিছু নয়,Hate
সেলিম নিজের সুবিধার জন্য দল পাল্টেছে,Hate
বিএনপি এসব সুযোগসন্ধানীদের দলে নেয়,Hate
এলডিপি ভেঙে যাওয়া তাদের দুর্বলতার প্রমাণ,Hate
ওদের রাজনীতি শুধু ক্ষমতা পাওয়ার জন্য,Hate
এলডিপির নেতারা টিকে থাকতে না পেরে পালিয়ে যাচ্ছে,Hate
ওরা সবসময় নিজের স্বার্থকে বড় করে দেখে,Hate
এলডিপির ভাঙন দেখায় তারা কতটা অদক্ষ,Hate
বিএনপিতে যোগ দিয়ে তারা শুধু লাভ খুঁজছে,Hate
ওদের সিদ্ধান্ত জনগণের জন্য নয় নিজের জন্য,Hate
এলডিপি বিলুপ্ত করা দায়িত্বহীনতা,Hate
ওরা দলটাকে নষ্ট করে এখন বিএনপিতে যাচ্ছে,Hate
এরা রাজনীতিতে স্থিরতা দেখাতে পারে না,Hate
ওদের যোগদান রাজনৈতিক নাটক,Hate
ওরা যেদিকে সুবিধা পায় সেদিকেই যায়,Hate
ওদের নেতৃত্বে কোনো দৃঢ়তা নেই,Hate
ওরা দলের প্রতি বিশ্বস্ত থাকতে পারে না,Hate
এলডিপির পতন তাদের অযোগ্যতা তুলে ধরে,Hate
ওরা সবসময় বড় দলের ছায়ায় থাকতে চায়,Hate
ওদের সিদ্ধান্ত ভোটের সময়ের স্বার্থেই,Hate
ওরা মানুষের বিশ্বাস নষ্ট করেছে,Hate
এলডিপির ভাঙন তাদের ব্যর্থতা,Hate
এরা কঠিন সময়ে কাউকে ধরে রাখতে পারে না,Hate
ওদের দলে স্থিতিশীলতা নেই,Hate
ওরা সুবিধা পেলেই দল ছেড়ে দেয়,Hate
এলডিপির ভেঙে পড়া অযোগ্য নেতৃত্বের ফল,Hate
ওরা রাজনৈতিকভাবে অনিশ্চিত,Hate
ওদের সিদ্ধান্ত ব্যক্তিগত স্বার্থে ভরা,Hate
ওরা দলবদলকে খেলায় পরিণত করেছে,Hate
এলডিপি ধরে রাখতে না পারা তাদের যোগ্যতার অভাব,Hate
বিএনপিতে যোগ দিয়ে তারা পুরোনো ব্যর্থতা ঢাকতে চায়,Hate
ওরা সংকটে সবসময় পালিয়ে যায়,Hate
ওদের নীতি আদর্শ নেই,Hate
এলডিপির অস্তিত্ব হারানো তাদের ব্যর্থতা,Hate
ওরা এখন আবার পুরোনো দলে ফিরে সুবিধা নিতে চায়,Hate
ওদের যোগদান ক্ষমতার লোভ থেকে,Hate
ওরা নিজের স্বার্থ ছাড়া কিছু ভাবে না,Hate
ওদের দাবি বিশ্বাসযোগ্য নয়,Hate
এলডিপি টিকতে না পারায় তারা দলে দলে পালাচ্ছে,Hate
ওরা নেতৃত্বের মাধ্যমে কিছুই করতে পারেনি,Hate
এরা শুধু বড় দলের সুবিধা নিতে চায়,Hate
ওদের রাজনৈতিক অবস্থান দুর্বল,Hate
এলডিপির পতন আগেই অনুমেয় ছিল,Hate
ওরা সবসময় অন্যের ওপর নির্ভরশীল,Hate
ওরা নিজস্ব শক্তি গড়তে ব্যর্থ,Hate
এলডিপি বিলুপ্ত করে তারা বাস্তবতা এড়াতে চায়,Hate
ওরা সুযোগ পেলেই মত বদলায়,Hate
ওরা রাজনৈতিকভাবে স্থির হতে পারে না,Hate
ওদের যোগদান বিএনপিকে বিভ্রান্ত করে,Hate
এলডিপির পতন তাদের নিষ্ক্রিয়তার ফল,Hate
ওরা নতুন দলে গিয়েও কিছু করতে পারবে না,Hate
ওদের দলগত শৃঙ্খলা নেই,Hate
ওরা যেকোনো সময় আবার দল বদলাবে,Hate
এলডিপির নেতৃত্ব নিজেই দলটাকে শেষ করেছে,Hate
ওরা রাজনীতিকে পেশা বানিয়ে ফেলেছে,Hate
ওদের সিদ্ধান্তে জনগণের কোনো লাভ নেই,Hate
এলডিপির ভেঙে পড়া তাদের ব্যর্থ রাজনৈতিক চিন্তার ফল,Hate
ওরা এখন বিএনপিকে ঢাল হিসেবে নিচ্ছে,Hate
ওদের রাজনৈতিক অবস্থান অস্থির,Hate
এলডিপির অস্তিত্বহীনতা তাদের নেতৃত্বের দোষ,Hate
ওরা রাজনীতিতে বিশ্বাসযোগ্যতা হারিয়েছে,Hate
ওরা আদর্শহীন রাজনীতি করছে,Hate
ওদের যোগদান BNP এর ভেতরে বিভাজন সৃষ্টি করতে পারে,Hate
ওরা দল ভাঙার পর পালিয়ে বেড়াচ্ছে,Hate
এলডিপি কখনোই শক্তিশালী দল ছিল না,Hate
ওরা ক্ষমতা ছাড়া কোনো কিছু ভাবে না,Hate
ওদের সিদ্ধান্ত বাস্তবতা বিবর্জিত,Hate
এলডিপি ভেঙে যাওয়ায় জনগণ হতাশ,Hate
ওরা দলকে রক্ষা করতে ব্যর্থ হয়েছে,Hate
ওদের যোগদান উচ্চাকাঙ্ক্ষার ফল,Hate
ওরা টিকে থাকার জন্য দল বদলায়,Hate
এলডিপির পতন তাদের দৃষ্টিভঙ্গির সীমাবদ্ধতা,Hate
ওরা নিজ দলের ব্যর্থতা ঢেকে রাখতে চায়,Hate
ওরা গণতন্ত্রে বিশ্বাস দেখাতে ব্যর্থ,Hate
ওরা রাজনৈতিক অনির্ভরযোগ্যতার উদাহরণ,Hate
এলডিপির ভাঙন দীর্ঘদিনের দুর্বলতার ফল,Hate
ওরা কেবল রাজনৈতিক চাপে পথ বদলায়,Hate
ওরা নেতৃত্বে ব্যর্থ এবং অযোগ্য,Hate
ওদের যোগদান শুধু ক্ষমতার কাছাকাছি যাওয়ার চেষ্টা,Hate
এলডিপি জনগণের আস্থা অর্জন করতে পারেনি,Hate
ওরা জনগণের মতামতকে গুরুত্ব দেয় না,Hate
ওরা ہمیشہ রাজনৈতিকভাবে অসৎ উদ্দেশ্য রাখে,Hate
ওদের যোগদান বিএনপির জন্যও ঝামেলা হতে পারে,Hate
এলডিপির ভাঙনে কেউ অবাক হয়নি,Hate
ওরা দল ছেড়ে নিজের অবস্থান বাঁচাচ্ছে,Hate
ওরা রাজনৈতিক লাভ ছাড়া কিছু বোঝে না,Hate
এলডিপি না টিকতে পারা তাদের ভণ্ডামির প্রমাণ,Hate
ওরা ভোটের সময় নাটক করে মানুষকে বিভ্রান্ত করে,Hate
ওদের দলে মানুষ আস্থা রাখতে পারে না,Hate
সরকার নির্বাচন নিয়ে মানুষকে বিভ্রান্ত করছে,Hate
ওরা নিজেদের সুবিধামতো নির্বাচন সময় ঠিক করতে চায়,Hate
ম্যান্ডেট না পাওয়ার কথা বলে দায়িত্ব এড়াচ্ছে,Hate
সরকার নির্বাচন নিয়ে নাটক করছে,Hate
ওরা নির্বাচনকে অনিশ্চিত করে রেখেছে,Hate
নির্বাচনের নামে সময় নষ্ট করা ছাড়া কিছু করছে না,Hate
ওদের কথায় কোনো স্পষ্টতা নেই,Hate
ওরা সবসময় দায় অন্যের ওপর চাপায়,Hate
নির্বাচন নিয়ে ওদের বক্তব্য মানুষকে বিভ্রান্ত করে,Hate
ওরা নির্বাচন কমিশনকে সামনে ঢাল হিসেবে ব্যবহার করছে,Hate
এমন অস্পষ্ট কথা জনমানসে উদ্বেগ সৃষ্টি করে,Hate
ওরা নির্বাচন বিষয়ে ইচ্ছেমতো বক্তব্য দেয়,Hate
ওদের রাজনৈতিক অবস্থান সবসময় দ্বিমুখী,Hate
ওরা দায়িত্বশীলতার অভাব দেখায়,Hate
ওদের বক্তব্যে অসঙ্গতি স্পষ্ট,Hate
ওরা পরিষ্কার সিদ্ধান্ত নিতে পারে না,Hate
সরকার রাজনৈতিক অনিশ্চয়তা বাড়াচ্ছে,Hate
ওরা নির্বাচন নিয়ে মানুষকে অন্ধকারে রাখছে,Hate
ওরা নির্বাচনকে নিয়ন্ত্রণ করতে চায়,Hate
ওদের বক্তব্যে রাজনৈতিক স্বচ্ছতার অভাব,Hate
ওরা নির্বাচনকে নিজের মতো করে পরিচালনা করতে চায়,Hate
ওদের কথায় আস্থা রাখা কঠিন,Hate
ওরা রাজনৈতিক মতভেদ বাড়িয়ে দিচ্ছে,Hate
ওদের সিদ্ধান্তে জনগণের মতামত নেই,Hate
ওদের মানসিকতা গণতন্ত্রের জন্য ক্ষতিকর,Hate
ওরা নির্বাচন বিলম্বে ইচ্ছুক,Hate
ওরা দায়িত্ব পালন করতে ব্যর্থ,Hate
ওদের দক্ষতার অভাব স্পষ্ট,Hate
ওরা নির্বাচনী পরিবেশ নষ্ট করছে,Hate
ওরা সবসময় নিজেদের অবস্থান বদলায়,Hate
ওদের বক্তব্যে রাজনৈতিক দুর্বলতা বোঝা যায়,Hate
ওরা স্পষ্ট উত্তর দিতে ভয় পায়,Hate
ওরা নির্বাচন নিয়ে প্রশ্ন এড়াতে চায়,Hate
ওরা নিজের অবস্থান স্পষ্ট করতে পারে না,Hate
ওদের অজ্ঞতা রাজনৈতিক বিশৃঙ্খলা বাড়ায়,Hate
ওরা নির্বাচনকে গুরুত্ব দেয় না,Hate
ওরা রাজনৈতিক অনিশ্চয়তা তৈরি করছে,Hate
ওরা জনগণের উদ্বেগ বুঝতে চায় না,Hate
ওরা রাজনৈতিক দলগুলোকে অস্থির রাখে,Hate
ওদের বক্তব্যে কোনো দৃঢ়তা নেই,Hate
ওরা নির্বাচন ইস্যুতে দড়ি ধরে দড়ি ছাড়ে,Hate
সরকার নির্বাচনকে জটিল করছে,Hate
ওরা রাজনৈতিক দলগুলোকে বিভ্রান্ত করছে,Hate
ওদের কথা শুনে রাজনৈতিক অস্থিরতা বাড়ে,Hate
ওরা কখনোই সুস্পষ্ট সিদ্ধান্ত দেয় না,Hate
ওরা দায়িত্ব এড়িয়ে পালানোর চেষ্টা করছে,Hate
ওদের বক্তব্যে সত্যতা কম,Hate
ওরা নির্বাচনের সময় নিয়ে খেলছে,Hate
ওদের মানসিকতা রাজনৈতিকভাবে অস্থিতিশীল,Hate
ওরা জনগণের ম্যান্ডেটের গুরুত্ব বোঝে না,Hate
ওরা নির্বাচন নিয়ে অপ্রয়োজনীয় মন্তব্য করে,Hate
ওরা গণতন্ত্রের চর্চা দুর্বল করছে,Hate
ওরা রাজনৈতিক গণতন্ত্রকে গুরুত্ব দেয় না,Hate
ওদের অজ্ঞতা জনগণকে উদ্বিগ্ন করে,Hate
ওরা নির্বাচন ইস্যুতে অকপট নয়,Hate
ওরা নির্বাচন সম্পর্কে অসঙ্গত সিদ্ধান্ত দেয়,Hate
ওদের বক্তৃতায় দায়িত্বহীনতা ফুটে ওঠে,Hate
সরকার অপারদর্শিতা দেখাচ্ছে,Hate
ওরা সঠিক সময়ে সিদ্ধান্ত নিতে পারে না,Hate
ওরা রাজনৈতিক সংকট বাড়াচ্ছে,Hate
ওদের কথায় কোনো নির্ভরযোগ্যতা নেই,Hate
ওরা নির্বাচনকে জটিল করতে চায়,Hate
ওরা বিভ্রান্তিকর তথ্য দেয়,Hate
ওরা রাজনৈতিক দলগুলোকে অসুবিধায় ফেলে,Hate
ওদের ব্যবহারে রাজনৈতিক অসন্তোষ বাড়ে,Hate
ওরা সবসময় দায় এড়িয়ে চলে,Hate
ওরা নির্বাচন প্রসঙ্গে যথাযথ কথা বলে না,Hate
ওরা দায়িত্ব নিতে চায় না,Hate
ওরা দেশের রাজনৈতিক পরিবেশ দুর্বল করছে,Hate
ওরা গণতন্ত্রকে আঘাত করছে,Hate
ওরা সবসময় বিতর্ক সৃষ্টি করে,Hate
ওদের বক্তব্যে জনগণ আশ্বস্ত হয় না,Hate
ওরা রাজনৈতিক অস্থিরতাকে বাড়িয়ে দেয়,Hate
ওরা নির্বাচন কমিশনের দায়িত্ব চাপিয়ে দেয়,Hate
ওরা নিজ দায়িত্ব থেকে দূরে সরে যায়,Hate
ওরা নির্বাচন প্রক্রিয়াকে বাধাগ্রস্ত করছে,Hate
ওরা স্বচ্ছতা দেখাতে ব্যর্থ,Hate
ওরা ইচ্ছাকৃতভাবে বিভ্রান্তি ছড়ায়,Hate
ওরা গণতন্ত্র প্রতিষ্ঠায় আন্তরিক নয়,Hate
ওরা নির্বাচনের গুরুত্ব বোঝে না,Hate
ওরা রাজনৈতিক দলগুলোকে দোষারোপ করে,Hate
ওরা মানুষের আস্থা হারিয়েছে,Hate
ওরা নির্বাচন নিয়ে অতিরিক্ত নাটক করছে,Hate
ওরা দায়িত্বহীন বক্তব্য দিচ্ছে,Hate
ওরা রাজনৈতিক পরিস্থিতিকে জটিল করছে,Hate
ওরা জনগণের প্রত্যাশা পূরণ করতে ব্যর্থ,Hate
ওরা গুরুত্বপূর্ণ প্রশ্নে এড়িয়ে যায়,Hate
ওদের কথাবার্তা অনির্ভরযোগ্য,Hate
ওরা নির্বাচন নিয়ে কাউকে সন্তুষ্ট করতে পারে না,Hate
ওরা দেশের ভবিষ্যৎ নিয়ে খেলছে,Hate
ওরা নির্বাচন ইস্যুতে সঠিক পথ দেখাতে পারে না,Hate
সাইফুল ইসলাম ব্যক্তিস্বার্থে দলকে ব্যবহার করছে,Hate
তিনি আওয়ামী লীগের লোকজনের সঙ্গে অস্বচ্ছ সম্পর্ক রাখেন,Hate
দলের ভেতরে তাঁর ভূমিকা সম্পূর্ণ বিতর্কিত,Hate
তিনি ছাত্র আন্দোলনে কোনো অবদান রাখেননি,Hate
তাঁর নেতৃত্বে দল দুর্বল হয়ে গেছে,Hate
তিনি দলের নাম ভাঙিয়ে নিজের স্বার্থ দেখেন,Hate
দলের প্রতি তাঁর দায়িত্বশীলতা নেই,Hate
তিনি আন্দোলনের সময় কোথাও দেখা দেননি,Hate
তিনি ফেসবুকে পর্যন্ত কোনো সমর্থন জানাননি,Hate
দলীয় ক্ষোভ বাড়ানোর পেছনে তাঁর ভূমিকা বড়,Hate
তিনি সুযোগ পেলেই সহচরদের সুবিধা দেন,Hate
তিনি ছাত্র–জনতার আন্দোলনের সময় চুপ ছিলেন,Hate
তিনি আওয়ামী লীগের ঘনিষ্ঠ হয়ে দলের ক্ষতি করেছেন,Hate
তাঁর বিরুদ্ধে ওঠা অভিযোগগুলো গুরুতর,Hate
তিনি নেতৃত্বে অযোগ্যতার পরিচয় দিয়েছেন,Hate
তিনি আন্দোলনের সময়ে পাশে না থেকে পালিয়ে ছিলেন,Hate
তাঁর সিদ্ধান্তগুলো দলে বিভাজন সৃষ্টি করেছে,Hate
তিনি দলকে তাঁর ব্যক্তিগত খেলায় পরিণত করেছেন,Hate
তিনি দলের জন্য বিপজ্জনক হয়ে উঠেছেন,Hate
তিনি ছাত্রদের প্রতি কোনো দায়িত্ব পালন করেননি,Hate
তাঁর কর্মকাণ্ডে সদস্যরা ক্ষুব্ধ,Hate
তিনি দলের আন্দোলনে অংশ নেননি,Hate
তিনি নিজের অবস্থান বাঁচাতে নানা অজুহাত দেন,Hate
দলের ভেতরে বিশৃঙ্খলা বাড়ানোর মূল কারণ তিনি,Hate
তিনি দলের ভাবমূর্তি ক্ষুণ্ন করেছেন,Hate
তিনি নিজের স্বার্থে দলকে ব্যবহার করেন,Hate
তাঁর নেতৃত্বে কেউ সন্তুষ্ট নয়,Hate
তিনি বারবার দলের মানুষকে হতাশ করেছেন,Hate
তিনি ছাত্র আন্দোলন থেকে দূরে ছিলেন,Hate
তিনি আওয়ামী ঘনিষ্ঠতার অভিযোগ এড়াতে পারেন না,Hate
তিনি আচরণে দলীয় শৃঙ্খলা ভঙ্গ করেছেন,Hate
তিনি দলে বিভ্রান্তি ছড়িয়েছেন,Hate
তিনি দলের ঐক্য নষ্ট করেছেন,Hate
তাঁর অধীনে কমিটি শক্তিশালী হয়নি,Hate
তিনি বিক্ষুব্ধ নেতাদের কথা উপেক্ষা করেন,Hate
তিনি আন্দোলনে নৈতিক সমর্থনও দেননি,Hate
তিনি সহকর্মীদের অবমূল্যায়ন করেছেন,Hate
তিনি দলে অবিশ্বাস সৃষ্টি করেছেন,Hate
তিনি বারবার বিতর্কিত কর্মকাণ্ডে জড়িয়েছেন,Hate
তিনি দলের ক্ষোভ বাড়িয়ে তুলেছেন,Hate
তাঁর সম্পর্কের কারণে দল সংকটে পড়েছে,Hate
তিনি আন্দোলনের কোনো পর্যায়ে উপস্থিত ছিলেন না,Hate
তিনি দলে গোষ্ঠী তৈরি করেছেন,Hate
তিনি দলের ভেতর বিভক্তি বাড়াচ্ছেন,Hate
তাঁর আচরণ দলীয় ঐক্য বিনষ্ট করেছে,Hate
তিনি নিজের দোষ ঢাকার চেষ্টা করেন,Hate
তিনি দলের প্রশ্নে দায়িত্বহীন আচরণ করেন,Hate
তিনি ছাত্র আন্দোলনের আন্দোলনকারীদের অবহেলা করেছেন,Hate
তিনি নিজের অবস্থান ধরে রাখতে দল ভাঙেন,Hate
তাঁকে অপসারণ না করলে সংকট বাড়বে,Hate
তিনি দলে আস্থার সংকট তৈরি করেছেন,Hate
তিনি দোষ চাপানোর প্রবণতা দেখান,Hate
তাঁর নেতৃত্বে কমিটি অকার্যকর হয়ে গেছে,Hate
তিনি সংগঠনকে বিভক্ত করতে ভূমিকা রাখছেন,Hate
তিনি বৈষম্যবিরোধী আন্দোলনে নিষ্ক্রিয় ছিলেন,Hate
তিনি অভিযোগের সঠিক ব্যাখ্যা দেন না,Hate
তাঁর কার্যকলাপ কর্মীদের ক্ষুব্ধ করেছে,Hate
তিনি নিজের বিরুদ্ধে ওঠা অভিযোগ এড়িয়ে যান,Hate
তিনি দলীয় সিদ্ধান্তকে অবজ্ঞা করেন,Hate
তিনি দলীয় স্বার্থকে অগ্রাধিকার দেন না,Hate
তিনি আন্দোলনের গুরুত্বপূর্ণ সময় পাশে ছিলেন না,Hate
তিনি স্পষ্ট বক্তব্য না দিয়ে বিভ্রান্ত করেন,Hate
তাঁর রাজনৈতিক অবস্থান সন্দেহজনক,Hate
তিনি দলের সমর্থন হারিয়েছেন,Hate
তিনি কর্মীদের অভিযোগকে গুরুত্ব দেন না,Hate
